,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
9677,SP1,25/08/2018,Ath Madrid,Vallecano,1,0,Ath Madrid
9678,SP1,25/08/2018,Valladolid,Barcelona,0,1,Barcelona
9679,SP1,26/08/2018,Espanol,Valencia,2,0,Espanol
9680,SP1,26/08/2018,Girona,Real Madrid,1,4,Real Madrid
9681,SP1,26/08/2018,Sevilla,Villarreal,0,0,D
9682,SP1,27/08/2018,Ath Bilbao,Huesca,2,2,D
9683,SP1,27/08/2018,Levante,Celta,1,2,Celta
9684,SP1,31/08/2018,Eibar,Sociedad,2,1,Eibar
9685,SP1,31/08/2018,Getafe,Valladolid,0,0,D
9686,SP1,31/08/2018,Villarreal,Girona,0,1,Girona
9687,SP1,01/09/2018,Celta,Ath Madrid,2,0,Celta
9688,SP1,01/09/2018,Real Madrid,Leganes,4,1,Real Madrid
9689,SP1,02/09/2018,Alaves,Espanol,2,1,Alaves
9690,SP1,02/09/2018,Barcelona,Huesca,8,2,Barcelona
9691,SP1,02/09/2018,Betis,Sevilla,1,0,Betis
9692,SP1,02/09/2018,Levante,Valencia,2,2,D
9693,SP1,14/09/2018,Huesca,Vallecano,0,1,Vallecano
9694,SP1,15/09/2018,Ath Bilbao,Real Madrid,1,1,D
9695,SP1,15/09/2018,Ath Madrid,Eibar,1,1,D
9696,SP1,15/09/2018,Sociedad,Barcelona,1,2,Barcelona
9697,SP1,15/09/2018,Valencia,Betis,0,0,D
9698,SP1,16/09/2018,Espanol,Levante,1,0,Espanol
9699,SP1,16/09/2018,Leganes,Villarreal,0,1,Villarreal
9700,SP1,16/09/2018,Sevilla,Getafe,0,2,Getafe
9701,SP1,16/09/2018,Valladolid,Alaves,0,1,Alaves
9702,SP1,17/09/2018,Girona,Celta,3,2,Girona
9703,SP1,21/09/2018,Huesca,Sociedad,0,1,Sociedad
9704,SP1,22/09/2018,Celta,Valladolid,3,3,D
9705,SP1,22/09/2018,Eibar,Leganes,1,0,Eibar
9706,SP1,22/09/2018,Getafe,Ath Madrid,0,2,Ath Madrid
9707,SP1,22/09/2018,Real Madrid,Espanol,1,0,Real Madrid
9708,SP1,22/09/2018,Vallecano,Alaves,1,5,Alaves
9709,SP1,23/09/2018,Barcelona,Girona,2,2,D
9710,SP1,23/09/2018,Betis,Ath Bilbao,2,2,D
9711,SP1,23/09/2018,Levante,Sevilla,2,6,Sevilla
9712,SP1,23/09/2018,Villarreal,Valencia,0,0,D
9713,SP1,25/09/2018,Ath Madrid,Huesca,3,0,Ath Madrid
9714,SP1,25/09/2018,Espanol,Eibar,1,0,Espanol
9715,SP1,25/09/2018,Sociedad,Vallecano,2,2,D
9716,SP1,26/09/2018,Ath Bilbao,Villarreal,0,3,Villarreal
9717,SP1,26/09/2018,Leganes,Barcelona,2,1,Leganes
9718,SP1,26/09/2018,Sevilla,Real Madrid,3,0,Sevilla
9719,SP1,26/09/2018,Valencia,Celta,1,1,D
9720,SP1,27/09/2018,Alaves,Getafe,1,1,D
9721,SP1,27/09/2018,Girona,Betis,0,1,Betis
9722,SP1,27/09/2018,Valladolid,Levante,2,1,Valladolid
9723,SP1,28/09/2018,Vallecano,Espanol,2,2,D
9724,SP1,29/09/2018,Barcelona,Ath Bilbao,1,1,D
9725,SP1,29/09/2018,Eibar,Sevilla,1,3,Sevilla
9726,SP1,29/09/2018,Real Madrid,Ath Madrid,0,0,D
9727,SP1,29/09/2018,Sociedad,Valencia,0,1,Valencia
9728,SP1,30/09/2018,Betis,Leganes,1,0,Betis
9729,SP1,30/09/2018,Huesca,Girona,1,1,D
9730,SP1,30/09/2018,Levante,Alaves,2,1,Levante
9731,SP1,30/09/2018,Villarreal,Valladolid,0,1,Valladolid
9732,SP1,01/10/2018,Celta,Getafe,1,1,D
9733,SP1,05/10/2018,Ath Bilbao,Sociedad,1,3,Sociedad
9734,SP1,06/10/2018,Alaves,Real Madrid,1,0,Alaves
9735,SP1,06/10/2018,Getafe,Levante,0,1,Levante
9736,SP1,06/10/2018,Girona,Eibar,2,3,Eibar
9737,SP1,06/10/2018,Leganes,Vallecano,1,0,Leganes
9738,SP1,07/10/2018,Ath Madrid,Betis,1,0,Ath Madrid
9739,SP1,07/10/2018,Espanol,Villarreal,3,1,Espanol
9740,SP1,07/10/2018,Sevilla,Celta,2,1,Sevilla
9741,SP1,07/10/2018,Valencia,Barcelona,1,1,D
9742,SP1,07/10/2018,Valladolid,Huesca,1,0,Valladolid
9743,SP1,19/10/2018,Celta,Alaves,0,1,Alaves
9744,SP1,20/10/2018,Barcelona,Sevilla,4,2,Barcelona
9745,SP1,20/10/2018,Real Madrid,Levante,1,2,Levante
9746,SP1,20/10/2018,Valencia,Leganes,1,1,D
9747,SP1,20/10/2018,Villarreal,Ath Madrid,1,1,D
9748,SP1,21/10/2018,Betis,Valladolid,0,1,Valladolid
9749,SP1,21/10/2018,Eibar,Ath Bilbao,1,1,D
